model,accuracy,precision,recall,f1,roc_auc,cv_auc_mean,cv_auc_std,classifier,classifier__C,classifier__penalty,classifier__solver,classifier__max_depth,classifier__min_samples_leaf,classifier__min_samples_split,classifier__n_estimators
LogisticRegression,0.8125925925925926,0.7102803738317757,0.2550335570469799,0.37530864197530867,0.7307248338096818,0.7279171525723771,0.015416711115210978,"LogisticRegression(max_iter=1000, random_state=42)",10.0,l2,liblinear,,,,
RandomForestClassifier,0.8262962962962963,0.6984375,0.375,0.48799126637554585,0.7931907424656135,0.7785115414513805,0.010103202229231997,RandomForestClassifier(random_state=42),,,,10.0,2.0,5.0,100.0
