iter	Logloss
0	0.6855431712
1	0.6790983932
2	0.6733730962
3	0.6677800642
4	0.6628837541
5	0.6584055151
6	0.654364143
7	0.6508280927
8	0.6473398108
9	0.6446125249
10	0.6421551888
11	0.6395662052
12	0.6372735302
13	0.635155813
14	0.633681004
15	0.631855456
16	0.6305205463
17	0.6289954114
18	0.6278674798
19	0.6265610455
20	0.6254309577
21	0.6240947832
22	0.6231997503
23	0.6224531793
24	0.6213128419
25	0.6204361002
26	0.6198049865
27	0.618946369
28	0.6180233607
29	0.6176175185
30	0.6170472443
31	0.616551499
32	0.6161858261
33	0.6156024544
34	0.6153053769
35	0.6147360931
36	0.6143047017
37	0.6134067838
38	0.6130748956
39	0.6124655197
40	0.6123536292
41	0.6122108149
42	0.6118233882
43	0.6114005628
44	0.6110306996
45	0.6109782993
46	0.6107640279
47	0.610447138
48	0.6098912858
49	0.6098125471
50	0.6095351007
51	0.609280817
52	0.6090359821
53	0.608658209
54	0.6084359548
55	0.6083321918
56	0.6081466072
57	0.6080530998
58	0.6077029821
59	0.6075325213
60	0.6073889898
61	0.6071767869
62	0.6067929056
63	0.6066596618
64	0.6064031713
65	0.6061536673
66	0.6060933056
67	0.6060717504
68	0.6060717317
69	0.605913441
70	0.6057917564
71	0.6056296285
72	0.6054622777
73	0.6054588084
74	0.6052030448
75	0.6050233506
76	0.6047230668
77	0.604647593
78	0.6045810193
79	0.604225453
80	0.6041529356
81	0.6039324173
82	0.6038268801
83	0.6036703943
84	0.603546239
85	0.6034167798
86	0.6032834687
87	0.6031608971
88	0.6029355003
89	0.6027102363
90	0.6026055151
91	0.602566309
92	0.6024937144
93	0.6023831471
94	0.6023831444
95	0.6022781125
96	0.602233002
97	0.6022329941
98	0.60222475
99	0.6022247484
100	0.6020771535
101	0.6018749925
102	0.6018501758
103	0.6017119516
104	0.6017119498
105	0.6013248797
106	0.6013210068
107	0.6012752849
108	0.6010091838
109	0.6008341655
110	0.6008314252
111	0.6008217093
112	0.600697879
113	0.6005851534
114	0.6005778681
115	0.6002267543
116	0.6001310285
117	0.6000619978
118	0.5999547768
119	0.5997114096
120	0.5996946953
121	0.5995908401
122	0.5995635975
123	0.5993207708
124	0.5992440435
125	0.5991905084
126	0.5990666973
127	0.5990364259
128	0.5989052692
129	0.5988315931
130	0.5988315924
131	0.5985210479
132	0.5983928323
133	0.5983928313
134	0.5982197504
135	0.5981924515
136	0.5981290924
137	0.5981201139
138	0.5979769246
139	0.597920718
140	0.5979207171
141	0.5978061564
142	0.5975663087
143	0.5975663069
144	0.597309577
145	0.597215831
146	0.5971531989
147	0.5971486112
148	0.5969485373
149	0.596891502
150	0.5966994803
151	0.5965526283
152	0.5965389249
153	0.5964329727
154	0.5964134564
155	0.5962826367
156	0.5962227462
157	0.5961371031
158	0.5961243203
159	0.5960984694
160	0.5958657128
161	0.595599891
162	0.5954848679
163	0.5953682315
164	0.5952795167
165	0.5951145796
166	0.5950989392
167	0.595058138
168	0.5950219664
169	0.5949062788
170	0.5947581015
171	0.5946732953
172	0.5946719086
173	0.5944190627
174	0.594337484
175	0.5942957192
176	0.5941370502
177	0.5940813894
178	0.5940612537
179	0.5940522144
180	0.5939832276
181	0.5939288844
182	0.5937136674
183	0.5933190051
184	0.5931362225
185	0.5930756585
186	0.5929821465
187	0.5927096652
188	0.5925701216
189	0.5922899441
190	0.5921047833
191	0.5920929092
192	0.5917617065
193	0.5914835666
194	0.5913531803
195	0.5910719899
196	0.5907903533
197	0.5905904126
198	0.5905126224
199	0.5902790472
